t,xcm,xcm_unwrapped,A,Iuv_global,Iuv_local
7.050000000000000711e-01,6.119493072327087191e+01,5.647194930723278048e+03,7.828141336794910421e-01,5.646198176150701853e-02,5.646198176150701159e-02
7.125000000000000222e-01,6.207156021089105735e+01,5.727871560210898679e+03,7.820782197183061557e-01,5.655036490171704705e-02,5.655036490171704705e-02
7.200000000000000844e-01,6.294673316271605756e+01,5.808546733162723285e+03,7.812698877526960128e-01,5.664828737150073845e-02,5.664828737150073151e-02
7.275000000000000355e-01,6.382037215992410495e+01,5.889220372159931685e+03,7.802954258214294114e-01,5.675558690634301129e-02,5.675558690634299741e-02
7.350000000000000977e-01,6.469239434245773168e+01,5.969892394342466105e+03,7.792180216761552813e-01,5.687205527450654718e-02,5.687205527450655412e-02
7.425000000000000488e-01,6.556272619717512384e+01,6.050562726197183110e+03,7.780585675391035183e-01,5.699734266834135393e-02,5.699734266834135393e-02
7.500000000000001110e-01,6.643129239621909221e+01,6.131231292396227218e+03,7.766974233972266939e-01,5.713106393619709483e-02,5.713106393619710177e-02
7.575000000000000622e-01,6.729801657128412273e+01,6.211898016571292828e+03,7.753244458789438909e-01,5.727272620014740162e-02,5.727272620014740162e-02
7.650000000000000133e-01,6.816282553383815923e+01,6.292562825533846990e+03,7.737437843541918880e-01,5.742165509606934198e-02,5.742165509606934198e-02
7.725000000000000755e-01,6.902572498386442135e+01,6.373225724983873079e+03,7.721135494113647857e-01,5.757689118755541374e-02,5.757689118755542068e-02
7.800000000000000266e-01,6.988667793732884093e+01,6.453886677937338391e+03,7.702924643537798488e-01,5.773762280317759621e-02,5.773762280317759621e-02
7.875000000000000888e-01,7.074564913731781246e+01,6.534545649137327018e+03,7.684386070699608107e-01,5.790272657346966917e-02,5.790272657346967611e-02
7.950000000000000400e-01,7.160260284699020872e+01,6.615202602846999980e+03,7.663769012077623621e-01,5.807133605747295813e-02,5.807133605747296506e-02
8.025000000000001021e-01,7.245749413794347049e+01,6.695857494137952926e+03,7.642993720177321260e-01,5.824269277647022014e-02,5.824269277647023402e-02
8.100000000000000533e-01,7.331026521030669585e+01,6.776510265210316902e+03,7.620678810616658971e-01,5.841606438761130782e-02,5.841606438761131476e-02
8.175000000000001155e-01,7.416085760780065073e+01,6.857160857607810613e+03,7.596767725989206355e-01,5.859073916086484507e-02,5.859073916086485201e-02
8.250000000000000666e-01,7.500930366769610202e+01,6.937809303667706445e+03,7.572931208878053155e-01,5.876566643060405354e-02,5.876566643060403966e-02
8.325000000000000178e-01,7.585558346293110787e+01,7.018455583462941831e+03,7.547651580286177664e-01,5.894009426941645979e-02,5.894009426941645285e-02
8.400000000000000799e-01,7.669966866716943343e+01,7.099099668667179685e+03,7.521085244006727732e-01,5.911337645506796468e-02,5.911337645506795080e-02
8.475000000000000311e-01,7.754150832530389437e+01,7.179741508325314499e+03,7.493376186756256496e-01,5.928507509427315830e-02,5.928507509427317912e-02
8.550000000000000933e-01,7.838098071707443637e+01,7.260380980717085549e+03,7.465600329440407190e-01,5.945511418126209896e-02,5.945511418126209202e-02
8.625000000000000444e-01,7.921811001154141252e+01,7.341018110011552380e+03,7.436758323007602867e-01,5.962272269727857121e-02,5.962272269727856427e-02
8.700000000000001066e-01,2.529223170385560548e-01,7.341852922317049888e+03,7.406946246145432733e-01,5.978723065849984170e-02,5.978723065849983476e-02
8.775000000000000577e-01,1.085389475114674651e+00,7.422485389475125885e+03,7.376244287179403170e-01,5.994829731947339674e-02,5.994829731947338980e-02
8.850000000000001199e-01,1.915376144310947604e+00,7.503115376144322909e+03,7.344716966645311595e-01,6.010617872016368879e-02,6.010617872016369573e-02
8.925000000000000711e-01,2.742837115274913806e+00,7.583742837115286420e+03,7.312413349095470139e-01,6.026075903516482646e-02,6.026075903516482646e-02
9.000000000000000222e-01,3.567885187135575009e+00,7.664367885187147294e+03,7.279367227839580456e-01,6.041109240673176589e-02,6.041109240673175895e-02
9.075000000000000844e-01,4.390450016382567711e+00,7.744990450016394789e+03,7.245597268761057030e-01,6.055722542863518215e-02,6.055722542863518909e-02
9.150000000000000355e-01,5.210339368347463918e+00,7.825610339368359746e+03,7.211107102990983453e-01,6.069988669331863318e-02,6.069988669331862624e-02
9.225000000000000977e-01,6.027748436707512703e+00,7.906227748436720503e+03,7.175885363412184414e-01,6.083802206556959691e-02,6.083802206556961772e-02
9.300000000000000488e-01,6.842559339102488813e+00,7.986842559339114814e+03,7.139905666788981531e-01,6.097184856074905346e-02,6.097184856074903958e-02
9.375000000000001110e-01,7.654723879373151796e+00,8.067454723879385710e+03,7.103126551580154491e-01,6.110152000444068338e-02,6.110152000444069031e-02
9.450000000000000622e-01,8.464361352557846274e+00,8.148064361352570813e+03,7.065491390799878424e-01,6.122649375465064048e-02,6.122649375465064048e-02
9.525000000000001243e-01,9.271249814817801749e+00,8.228671249814829935e+03,7.027922048851693582e-01,6.134742630630251464e-02,6.134742630630251464e-02
9.600000000000000755e-01,1.007563732375883880e+01,8.309275637323769843e+03,6.989709764299071315e-01,6.146344604510679821e-02,6.146344604510680515e-02
9.675000000000000266e-01,1.087725675417051185e+01,8.389877256754181872e+03,6.950578551450978804e-01,6.157537617780870637e-02,6.157537617780870637e-02
9.750000000000000888e-01,1.167634796569372391e+01,8.470476347965703098e+03,6.910415997007124389e-01,6.168239612788325305e-02,6.168239612788324611e-02
9.825000000000000400e-01,1.247275967604158886e+01,8.551072759676051646e+03,6.869955130456185666e-01,6.178485501433771121e-02,6.178485501433773203e-02
9.900000000000001021e-01,1.326653249283266511e+01,8.631666532492841725e+03,6.829376991542039921e-01,6.188285284308575607e-02,6.188285284308575607e-02
9.975000000000000533e-01,1.405780757080707488e+01,8.712257807570815203e+03,6.787555744525137769e-01,6.197546120387192187e-02,6.197546120387192187e-02
1.005000000000000115e+00,1.484633368983676505e+01,8.792846333689843959e+03,6.744933968762190091e-01,6.206408130963692732e-02,6.206408130963692732e-02
1.012500000000000178e+00,1.563232367354146213e+01,8.873432323673547216e+03,6.702660454574628224e-01,6.214754244358312862e-02,6.214754244358312862e-02
1.020000000000000018e+00,1.641580359141656231e+01,8.954015803591422809e+03,6.658826368753593128e-01,6.222587356991110541e-02,6.222587356991109153e-02
1.027500000000000080e+00,1.719669792549247589e+01,9.034596697925497210e+03,6.614847001018958617e-01,6.229944374320615236e-02,6.229944374320615236e-02
1.035000000000000142e+00,1.797502561542680155e+01,9.115175025615431878e+03,6.570348447383325130e-01,6.236806653672538614e-02,6.236806653672538614e-02
1.042499999999999982e+00,1.875084714150471754e+01,9.195750847141507620e+03,6.524390203569256919e-01,6.243159242859634001e-02,6.243159242859634694e-02
1.050000000000000044e+00,1.952417615690492170e+01,9.276324176156907924e+03,6.479100823038670409e-01,6.249012176169176785e-02,6.249012176169178173e-02
1.057500000000000107e+00,2.029505869487313774e+01,9.356895058694875843e+03,6.431586049137992811e-01,6.254332552534097589e-02,6.254332552534097589e-02
1.065000000000000169e+00,2.106349608607580137e+01,9.437463496086076702e+03,6.385152363408830301e-01,6.259132180740069329e-02,6.259132180740069329e-02
1.072500000000000009e+00,2.182952288816481357e+01,9.518029522888165957e+03,6.336383652891621754e-01,6.263395384918511721e-02,6.263395384918511721e-02
1.080000000000000071e+00,2.259314897439826808e+01,9.598593148974397991e+03,6.288443199051995114e-01,6.267131090194863474e-02,6.267131090194860699e-02
1.087500000000000133e+00,2.335439510902258320e+01,9.679154395109022516e+03,6.238159274744228266e-01,6.270340884490217814e-02,6.270340884490217814e-02
