t,A,Iuv
6.675000000000000933e-01,8.556001663989000194e-01,5.932175039228410052e-02
6.750000000000000444e-01,8.550198042754353356e-01,5.933584014361881209e-02
6.825000000000001066e-01,8.556910115754740032e-01,5.934703149510080905e-02
6.900000000000000577e-01,8.557000041254275713e-01,5.933286996490060028e-02
6.975000000000000089e-01,8.551143389741008294e-01,5.933212664952595278e-02
7.050000000000000711e-01,8.555806435343354943e-01,5.934940391602271104e-02
7.125000000000000222e-01,8.557581626979701150e-01,5.934225292554357045e-02
7.200000000000000844e-01,8.553238155820112043e-01,5.932696475805814690e-02
7.275000000000000355e-01,8.554225206633759848e-01,5.935004276452558042e-02
7.350000000000000977e-01,8.557734356380135576e-01,5.934971986091535506e-02
7.425000000000000488e-01,8.554947878663569094e-01,5.932434696277072428e-02
7.500000000000001110e-01,8.552152671908804793e-01,5.934902307003726840e-02
7.575000000000000622e-01,8.557445822297458093e-01,5.935527824434387589e-02
7.650000000000000133e-01,8.556261408661761658e-01,5.933567333645897723e-02
7.725000000000000755e-01,8.549574701180002734e-01,5.934642081617971104e-02
7.800000000000000266e-01,8.556703268647533056e-01,5.935898048837540825e-02
7.875000000000000888e-01,8.557167272489853982e-01,5.934638088174922638e-02
7.950000000000000400e-01,8.551646495553577587e-01,5.934231226155908118e-02
8.025000000000001021e-01,8.555493583995735785e-01,5.936089403957323096e-02
8.100000000000000533e-01,8.557653666323733477e-01,5.935527464312922996e-02
8.175000000000001155e-01,8.553655795218569891e-01,5.933677389732554264e-02
8.250000000000000666e-01,8.553803295288002762e-01,5.936109203580436366e-02
8.325000000000000178e-01,8.557708449119145744e-01,5.936224800121696343e-02
8.400000000000000799e-01,8.555277576961427544e-01,5.933776179845868387e-02
8.475000000000000311e-01,8.551618561766778370e-01,5.935964978033546335e-02
8.550000000000000933e-01,8.557319135976385605e-01,5.936732363239311666e-02
8.625000000000000444e-01,8.556500619116607087e-01,5.934925217686515264e-02
8.700000000000001066e-01,8.549828312877357783e-01,5.935664331454230253e-02
8.775000000000000577e-01,8.556472891613609022e-01,5.937055870932158447e-02
8.850000000000001199e-01,8.557313374775263881e-01,5.935951942079865928e-02
8.925000000000000711e-01,8.552130631250897119e-01,5.935214888426922075e-02
9.000000000000000222e-01,8.555156523974716265e-01,5.937202242127272156e-02
9.075000000000000844e-01,8.557703965013274683e-01,5.936792541439263327e-02
9.150000000000000355e-01,8.554053915104026240e-01,5.934624981393033655e-02
9.225000000000000977e-01,8.553356477999224383e-01,5.937178855529567228e-02
9.300000000000000488e-01,8.557660172187727676e-01,5.937441178826086130e-02
9.375000000000001110e-01,8.555587190328683977e-01,5.935116588084832223e-02
9.450000000000000622e-01,8.551058829584491372e-01,5.936993262421812884e-02
9.525000000000001243e-01,8.557169433323628116e-01,5.937901267078549844e-02
9.600000000000000755e-01,8.556719162858322791e-01,5.936249460344898699e-02
9.675000000000000266e-01,8.550377489076529391e-01,5.936653070527584536e-02
9.750000000000000888e-01,8.556218833615323316e-01,5.938178900594805187e-02
9.825000000000000400e-01,8.557438211856865928e-01,5.937230562945163687e-02
9.900000000000001021e-01,8.552595674342153842e-01,5.936165903057292331e-02
9.975000000000000533e-01,8.554795100068243174e-01,5.938281138664974063e-02
1.005000000000000115e+00,8.557732382960120399e-01,5.938022663354646652e-02
1.012500000000000178e+00,8.554432389503001666e-01,5.935566655340157594e-02
1.020000000000000018e+00,8.552884595309719895e-01,5.938215411710737190e-02
1.027500000000000080e+00,8.557589381590399169e-01,5.938623258176979613e-02
1.035000000000000142e+00,8.555876589235461571e-01,5.936438469642735249e-02
1.042499999999999982e+00,8.550473311598787429e-01,5.937989286796736821e-02
1.050000000000000044e+00,8.556996566367067736e-01,5.939036636426768545e-02
1.057500000000000107e+00,8.556916906722884519e-01,5.937541189377166378e-02
1.065000000000000169e+00,8.550907990388952884e-01,5.937610373652809498e-02
1.072500000000000009e+00,8.555940942637545454e-01,5.939269193210632014e-02
1.080000000000000071e+00,8.557541646855110207e-01,5.938475796919753802e-02
1.087500000000000133e+00,8.553041502023407405e-01,5.937086294390278574e-02
1.095000000000000195e+00,8.554409156154887395e-01,5.939328100960334506e-02
1.102500000000000036e+00,8.557738779485002389e-01,5.939219762325096547e-02
1.110000000000000098e+00,8.554791092123809060e-01,5.936660213205943032e-02
1.117500000000000160e+00,8.552387486931015692e-01,5.939220831077205581e-02
1.125000000000000000e+00,8.557495932763290458e-01,5.939772960636081900e-02
1.132500000000000062e+00,8.556145643798771516e-01,5.937736140291120096e-02
1.140000000000000124e+00,8.549861843295980535e-01,5.938954962278725908e-02
1.147500000000000187e+00,8.556800386574491268e-01,5.940140359885532489e-02
1.155000000000000027e+00,8.557093717133648081e-01,5.938801651712813379e-02
1.162500000000000089e+00,8.551419697092382810e-01,5.938538105204133055e-02
1.170000000000000151e+00,8.555639066098847945e-01,5.940328596114376192e-02
1.177499999999999991e+00,8.557623542401568972e-01,5.939689331948760226e-02
1.185000000000000053e+00,8.553467991049270580e-01,5.937977883347309721e-02
1.192500000000000115e+00,8.553998535527009839e-01,5.940344932860076171e-02
1.200000000000000178e+00,8.557723013335996054e-01,5.940385581237509621e-02
1.207500000000000018e+00,8.555129896097898312e-01,5.937883115829020730e-02
1.215000000000000080e+00,8.551864991956930062e-01,5.940196873703242758e-02
1.222500000000000142e+00,8.557379680486432161e-01,5.940892015594333164e-02
1.230000000000000204e+00,8.556394223436725177e-01,5.939007699240599764e-02
1.237500000000000044e+00,8.549572029471153023e-01,5.939892005699615868e-02
1.245000000000000107e+00,8.556580744680218897e-01,5.941214134836240307e-02
1.252500000000000169e+00,8.557249459713918149e-01,5.940032101875279691e-02
1.260000000000000009e+00,8.551912488606653318e-01,5.939437939676822653e-02
1.267500000000000071e+00,8.555313050616312198e-01,5.941358768695797349e-02
1.275000000000000133e+00,8.557683760250501814e-01,5.940872703773266567e-02
1.282500000000000195e+00,8.553875017238243839e-01,5.938842412777353696e-02
1.290000000000000036e+00,8.553563080617999637e-01,5.941333253890162397e-02
1.297500000000000098e+00,8.557684942329264466e-01,5.941521689560874675e-02
1.305000000000000160e+00,8.555448673575006824e-01,5.939131459239667399e-02
1.312500000000000000e+00,8.551316948574642085e-01,5.941145118987851970e-02
1.320000000000000062e+00,8.557240478572094577e-01,5.941981976304696461e-02
1.327500000000000124e+00,8.556622196565073502e-01,5.940252714717214610e-02
1.335000000000000187e+00,8.550129672360047284e-01,5.940801956788544641e-02
1.342500000000000027e+00,8.556337490428754800e-01,5.942259483912086526e-02
1.350000000000000089e+00,8.557383999081003001e-01,5.941233745639665914e-02
